osm_way_id,street_name,road_type
23292514,unknown,cycleway
23683013,Carolina MacGillavrylaan,tertiary
26144351,Wijttenbachstraat,secondary
26144486,Wijttenbachstraat,secondary
26609074,Pieter Vlamingstraat,residential
27006392,Toministraat,residential
27688254,Ezelsbrug,cycleway
27688255,Poolstraat,cycleway
29979245,Tweede Leeghwaterstraat,residential
29979423,Isaac Titsinghkade,residential
33199224,Cruquiusweg,cycleway
33471678,unknown,cycleway
33514270,unknown,cycleway
33514276,unknown,cycleway
33514318,unknown,cycleway
33514339,unknown,cycleway
33514381,unknown,cycleway
33790945,unknown,cycleway
33790946,Th. K. van Lohuizenlaan,cycleway
33790948,unknown,cycleway
33827456,Linnaeusplantsoen,cycleway
33913035,Archimedesweg,secondary
34145986,Molukkenstraat,secondary
34181692,unknown,cycleway
34181693,unknown,cycleway
34181694,unknown,cycleway
34181695,unknown,cycleway
34865089,Eerste Van Swindenstraat,residential
34865091,Vrolikstraat,residential
35919080,unknown,cycleway
35919081,unknown,cycleway
36592981,unknown,residential
37283411,unknown,cycleway
37417484,Wittenburgergracht,tertiary
37417544,Oostenburgergracht,tertiary
37417545,unknown,cycleway
37417546,unknown,cycleway
37844688,Middenweg,cycleway
37844689,Linnaeusstraat,cycleway
38349507,unknown,cycleway
38349508,Zeeburgerstraat,tertiary
38349509,unknown,cycleway
38349510,unknown,cycleway
38349511,unknown,cycleway
38358819,Th. K. van Lohuizenlaan,cycleway
38358820,Th. K. van Lohuizenlaan,cycleway
38358821,Th. K. van Lohuizenlaan,cycleway
38358822,Th. K. van Lohuizenlaan,cycleway
38358823,Th. K. van Lohuizenlaan,cycleway
38358824,Th. K. van Lohuizenlaan,cycleway
38358825,Th. K. van Lohuizenlaan,cycleway
38358826,Th. K. van Lohuizenlaan,cycleway
38358828,unknown,cycleway
38358829,unknown,cycleway
38358832,unknown,cycleway
38358833,unknown,cycleway
38358834,unknown,cycleway
38358835,unknown,cycleway
38531167,unknown,cycleway
38531173,Panamalaan,primary
38531174,Panamalaan,primary
38531175,Cruquiusweg,tertiary
38531176,Cruquiusweg,tertiary
38531179,C. van Eesterenlaan,tertiary
38531181,C. van Eesterenlaan,tertiary
38531182,C. van Eesterenlaan,tertiary
38572017,Dageraadsbrug,tertiary
38572018,unknown,tertiary
43278109,Insulindeweg,cycleway
43278110,Wijttenbachstraat,cycleway
43278111,Wijttenbachstraat,cycleway
43278112,Insulindeweg,cycleway
43278114,Insulindeweg,cycleway
43278123,Wijttenbachstraat,cycleway
43278131,Wijttenbachstraat,cycleway
43281281,Linnaeusstraat,cycleway
43281350,unknown,cycleway
43281498,unknown,cycleway
43285019,unknown,cycleway
46928171,Lampongstraat,residential
49042718,Blankenstraat,cycleway
49042720,Eerste Coehoornstraat,cycleway
49229549,Lombokstraat,residential
51571174,unknown,cycleway
51571175,unknown,cycleway
59051656,Middenweg,cycleway
59229057,unknown,cycleway
59229059,unknown,cycleway
59229060,unknown,cycleway
59229061,unknown,cycleway
59229062,unknown,cycleway
59229063,unknown,cycleway
59229064,unknown,cycleway
59229065,unknown,cycleway
59229066,Panamalaan,cycleway
59229067,unknown,cycleway
60026245,unknown,cycleway
61130897,Celebesstraat,residential
65276157,Zeeburgerdijk,cycleway
65276162,Flevoparkweg,cycleway
73094302,Zeeburgerdijk,cycleway
73094305,unknown,cycleway
73094307,unknown,cycleway
73094309,Kramatweg,cycleway
73094311,unknown,cycleway
73094312,unknown,cycleway
83187128,Oosterpark,cycleway
92405265,unknown,tertiary
93465599,unknown,cycleway
93465600,Czaar Peterstraat,residential
112460250,Middenweg,cycleway
112515062,Soembawastraat,residential
112515064,Panamalaan,primary
112515065,Insulindeweg,cycleway
112515068,Wijttenbachstraat,cycleway
112515073,Panamalaan,primary
115632075,unknown,cycleway
115632078,unknown,cycleway
115708735,unknown,cycleway
115708738,unknown,cycleway
115708739,unknown,cycleway
115708741,unknown,cycleway
115708744,unknown,cycleway
115708745,unknown,cycleway
115708746,unknown,cycleway
115708747,unknown,cycleway
115708748,Czaar Peterstraat,residential
115708749,unknown,cycleway
115711051,Oostenburgergracht,cycleway
115711052,Czaar Peterstraat,residential
115711053,unknown,cycleway
115711600,Czaar Peterstraat,cycleway
115743505,unknown,cycleway
115743506,unknown,cycleway
115743507,unknown,cycleway
115743508,Molukkenstraat,cycleway
115743514,Zeeburgerdijk,cycleway
115743515,Molukkenstraat,cycleway
115743516,Zeeburgerdijk,cycleway
115743517,Zeeburgerdijk,cycleway
115743518,unknown,cycleway
115743696,Zeeburgerdijk,primary
115750356,unknown,cycleway
115750357,unknown,cycleway
115750358,unknown,cycleway
115750359,Zeeburgerdijk,primary
115750360,unknown,cycleway
115750361,unknown,cycleway
115750362,unknown,cycleway
117043866,Balistraat,cycleway
117043867,unknown,cycleway
117065433,Linnaeusstraat,cycleway
117065434,Linnaeusstraat,cycleway
117608648,Mauritskade,cycleway
118106438,unknown,cycleway
118446663,Cruquiusweg,cycleway
118603691,Alexanderplein,cycleway
118603693,Mauritskade,cycleway
118605050,Sarphatistraat,tertiary
118605670,unknown,cycleway
118605672,unknown,cycleway
118606125,unknown,cycleway
118689922,unknown,cycleway
118689923,unknown,cycleway
118689924,Roomtuintjes,residential
118689925,unknown,cycleway
118689926,unknown,cycleway
118689927,unknown,residential
118690805,unknown,cycleway
118690806,unknown,cycleway
118690807,unknown,cycleway
118691954,Pontanusstraat,cycleway
118691956,Pontanusstraat,cycleway
119308608,Th. K. van Lohuizenlaan,cycleway
119308610,Th. K. van Lohuizenlaan,cycleway
119308614,Zeeburgerdijk,cycleway
119308615,Zeeburgerdijk,cycleway
119308624,Zeeburgerdijk,cycleway
119308627,Zeeburgerdijk,cycleway
119308633,Zeeburgerdijk,cycleway
119311654,unknown,cycleway
121282988,Insulindeweg,residential
121283029,unknown,cycleway
121289339,Zeeburgerdijk,cycleway
121289340,Zeeburgerdijk,cycleway
122114280,unknown,cycleway
122385716,Insulindeweg,cycleway
122390645,Wijttenbachstraat,cycleway
122390857,Oosterpark,cycleway
122394095,unknown,cycleway
122394096,unknown,cycleway
124657880,Cruquiusweg,tertiary
124660300,unknown,cycleway
124660301,Kramatweg,cycleway
124660302,unknown,cycleway
124696546,J.M. van der Meylaan,cycleway
124840797,Keerwal,residential
124840798,Cruquiuskade,tertiary
125511756,unknown,cycleway
125511759,unknown,cycleway
126221712,Veelaan,cycleway
126221713,Veemarkt,residential
126221716,unknown,cycleway
126230982,unknown,cycleway
126230983,Copernicusstraat,cycleway
126231478,Archimedeslaan,residential
127224485,Eerste Atjehstraat,cycleway
127224486,unknown,cycleway
136124605,Carolina MacGillavrylaan,cycleway
136174501,Blankenstraat,residential
136178518,Kraijenhoffstraat,cycleway
136179598,unknown,cycleway
136179599,unknown,tertiary
136179601,Dageraadsbrug,tertiary
136179602,unknown,cycleway
136179603,unknown,cycleway
136513264,unknown,cycleway
136513266,Dirk Vreekenstraat,residential
136513270,Borneolaan,residential
136513280,unknown,cycleway
136513282,unknown,cycleway
137614014,unknown,cycleway
137614015,unknown,cycleway
137614016,unknown,cycleway
144451997,Kastanjeweg,cycleway
144451998,Eikenweg,cycleway
145048346,Molukkenstraat,cycleway
145048348,Insulindeweg,cycleway
145514248,Insulindeweg,cycleway
145514250,unknown,residential
145518969,Celebesstraat,cycleway
146244555,Insulindeweg,cycleway
146254176,Zuiderzeeweg,secondary
146254402,Zeeburgerdijk,tertiary
146275971,unknown,cycleway
146977377,Alexanderplein,cycleway
146977378,Mauritskade,cycleway
146977379,Alexanderplein,cycleway
147561235,Borneolaan,residential
147561237,unknown,cycleway
147561239,J.M. van der Meylaan,cycleway
148199985,Eerste Leeghwaterstraat,residential
148199986,unknown,cycleway
148306558,Soendastraat,residential
148306559,Timorstraat,residential
148306560,Billitonstraat,residential
148306561,Borneostraat,residential
148308601,Copernicusstraat,residential
148310278,unknown,cycleway
148311109,unknown,cycleway
148311111,unknown,cycleway
148311112,unknown,cycleway
158070750,unknown,cycleway
158070751,unknown,cycleway
158071068,Riouwstraat,residential
161975529,unknown,cycleway
161975536,Oosterspoorplein,residential
161975541,unknown,cycleway
164971339,Zuiderzeeweg,cycleway
172154460,unknown,cycleway
172155791,Balistraat,residential
172386584,Javaplantsoen,residential
172392372,Javaplantsoen,residential
172492937,Insulindeweg,residential
172500941,Kramatweg,cycleway
172500944,Zeeburgerdijk,residential
174500364,Zeeburgerdijk,cycleway
174500366,Zeeburgerdijk,tertiary
174500367,Zeeburgerdijk,cycleway
174500368,Zeeburgerdijk,cycleway
180117911,unknown,residential
180117920,Zeeburgerdijk,cycleway
180117926,unknown,cycleway
180117932,unknown,cycleway
180117941,unknown,cycleway
180117947,unknown,cycleway
180117949,unknown,cycleway
183342931,Linnaeusstraat,cycleway
186891797,Oosterpark,cycleway
190774233,Insulindeweg,residential
191593760,unknown,cycleway
195648502,Cruquiuskade,tertiary
195648503,Oostenburgergracht,tertiary
195649386,Insulindeweg,secondary
207184822,J.M. van der Meylaan,cycleway
207184823,J.M. van der Meylaan,cycleway
217443548,unknown,residential
221491316,Alexanderplein,cycleway
221491317,Alexanderplein,cycleway
221491318,Alexanderplein,cycleway
222388934,unknown,cycleway
224459319,Celebesstraat,cycleway
225981836,Tweede van Swindenstraat,residential
258138664,Zeeburgerdijk,tertiary
258138666,Zeeburgerdijk,primary
262218775,unknown,cycleway
268615879,Dageraadsbrug,tertiary
268615881,unknown,cycleway
268766164,unknown,cycleway
269052590,Kruithuisstraat,residential
269774712,Polderweg,residential
284529439,Boetonstraat,residential
284529445,Javaplantsoen,residential
284529447,Kramatweg,residential
304634473,Javastraat,residential
304661185,Zuiderzeeweg,cycleway
306119743,Insulindeweg,cycleway
306119744,Celebesstraat,cycleway
306119745,Celebesstraat,residential
307981300,Middenweg,cycleway
307982476,unknown,cycleway
307982477,unknown,cycleway
307982478,unknown,cycleway
307982479,unknown,cycleway
307983750,Ooster Ringdijk,cycleway
321177434,Zeeburgerstraat,tertiary
321177435,unknown,cycleway
323847236,Cruquiuskade,tertiary
323847237,Cruquiuskade,tertiary
323847238,Oostenburgergracht,tertiary
323937630,unknown,cycleway
324310026,Sarphatistraat,cycleway
324310027,Sarphatistraat,cycleway
325023862,Zuiderzeeweg,secondary
325246226,Carolina MacGillavrylaan,tertiary
325246227,Molukkenstraat,secondary
325288075,Polderweg,residential
325812120,unknown,cycleway
328849644,Czaar Peterstraat,cycleway
340004726,Cornelis Vermuydenstraat,cycleway
356993840,Sumatrastraat,residential
356993844,Sumatrastraat,residential
